Date,Price
2021-03-28T16:59:56.000Z,1250
2021-03-28T16:59:56.000Z,1175
2021-03-28T16:59:56.000Z,1250
2021-03-28T16:59:56.000Z,1464
2021-04-04T16:59:56.000Z,1253.8775510204082
2021-04-04T16:59:56.000Z,1229.3877551020407
2021-04-04T16:59:56.000Z,1205.1063829787233
2021-04-04T16:59:56.000Z,1195.1020408163265
2021-04-04T16:59:56.000Z,1315.9245283018868
2021-04-04T16:59:56.000Z,1494.72
2021-04-04T16:59:56.000Z,1290
2021-04-04T16:59:56.000Z,1275
2021-04-04T16:59:56.000Z,1200
2021-04-04T16:59:56.000Z,1300
2021-04-11T16:59:56.000Z,1348.8000000000002
2021-04-11T16:59:56.000Z,1300
2021-04-11T16:59:56.000Z,1225.5319148936169
2021-04-11T16:59:56.000Z,1225.5319148936169
2021-04-11T16:59:56.000Z,1453.44
2021-04-11T16:59:56.000Z,1300
2021-04-11T16:59:56.000Z,1573.132075471698
2021-04-11T16:59:56.000Z,1357.8461538461538
2021-04-11T16:59:56.000Z,1175.5102040816325
2021-04-11T16:59:56.000Z,1275
2021-04-11T16:59:56.000Z,1263.6734693877552
2021-04-11T16:59:56.000Z,1357.8461538461538
2021-04-11T16:59:56.000Z,1357.8461538461538
2021-04-11T16:59:56.000Z,1300
2021-04-11T16:59:56.000Z,1200
2021-04-18T16:59:56.000Z,1273.3584905660377
2021-04-18T16:59:56.000Z,1273.3584905660377
2021-04-18T16:59:56.000Z,1278.2608695652175
2021-04-18T16:59:56.000Z,1284.7058823529412
2021-04-18T16:59:56.000Z,1276.595744680851
2021-04-18T16:59:56.000Z,1159.2452830188681
2021-04-18T16:59:56.000Z,1175.5102040816325
2021-04-18T16:59:56.000Z,1176.4705882352941
2021-04-18T16:59:56.000Z,1175.5102040816325
2021-04-18T16:59:56.000Z,1224.4897959183675
2021-04-18T16:59:56.000Z,1126.5306122448978
2021-04-25T16:59:56.000Z,1286.8085106382978
2021-04-25T16:59:56.000Z,1276.595744680851
2021-04-25T16:59:56.000Z,1297.0212765957447
2021-04-25T16:59:56.000Z,1290
2021-04-25T16:59:56.000Z,1238.2978723404256
2021-04-25T16:59:56.000Z,1225
2021-04-25T16:59:56.000Z,1200
2021-05-02T16:59:56.000Z,1237.3333333333335
2021-05-02T16:59:56.000Z,1276.595744680851
2021-05-02T16:59:56.000Z,1307.2340425531916
2021-05-02T16:59:56.000Z,1428.48
2021-05-02T16:59:56.000Z,1283.4782608695652
2021-05-09T16:59:56.000Z,1340
2021-05-09T16:59:56.000Z,1302.1276595744682
2021-05-09T16:59:56.000Z,1297.0212765957447
2021-05-09T16:59:56.000Z,1272
2021-05-09T16:59:56.000Z,1307.076923076923
2021-05-16T16:59:56.000Z,1288.695652173913
2021-05-16T16:59:56.000Z,1310
2021-05-23T16:59:56.000Z,1163.076923076923
2021-05-23T16:59:56.000Z,1168.695652173913
2021-05-23T16:59:56.000Z,1165.7142857142858
2021-05-23T16:59:56.000Z,1166.4
2021-05-23T16:59:56.000Z,1234.2857142857142
2021-05-23T16:59:56.000Z,1307.5
2021-05-30T16:59:56.000Z,1300
2021-05-30T16:59:56.000Z,1253.8775510204082
2021-05-30T16:59:56.000Z,1145.6603773584907
2021-06-06T16:59:56.000Z,1300
2021-06-06T16:59:56.000Z,1234.2857142857142
2021-06-06T16:59:56.000Z,1205.3333333333333
2021-06-06T16:59:56.000Z,1168.3018867924527
2021-06-06T16:59:56.000Z,1400.1509433962265
2021-06-13T16:59:56.000Z,1210.4347826086955
2021-06-13T16:59:56.000Z,1266.3829787234044
